Date,Zinc,WTI_Crude,Uranium,Tin,Copper,Hard_Logs,Soft_Logs,Hides,Lead,Nickel,Rubber,Soft_Sawn,Fish_Meal,Cotton,Coal,Iron_Ore,Hard_Sawn
1/1/1992,1170.302327,18.89,8.133333333,5577.412305,2197.085799,191.6800028,138.7618605,69.43979899,514.8557739,7616.530599,36.88496399,223.7019755,535.6073947,57.08166631,39.5,14.31,593.0655518
4/1/1992,1356.031982,21.19,7.683333333,6193.802563,2243.307937,189.4033305,159.5230597,77.57504272,535.0084635,7318.08724,39.36961238,241.0677948,544.7015344,60.82166672,39.5,14.31,618.6157023
7/1/1992,1350.309489,21.66,8.183333333,6802.681272,2486.78973,187.5766652,188.6756203,75.71996053,637.7896322,7238.165365,39.87342962,231.5847473,519.2399006,60.56333669,39.5,14.31,607.7395426
10/1/1992,1090.692668,20.48,10.25,5842.477582,2212.065448,218.1033376,196.3464938,80.72429657,486.4013367,5889.135091,40.1958046,242.2231649,471.3331093,53.26916631,35.75,14.31,609.425415
1/1/1993,1045.986938,19.80666667,10.03333333,5790.718216,2209.591855,290.6933339,213.6979437,80.91948446,419.1099854,5991.254395,40.04700597,247.3050842,450.2410883,59.76548386,32.33333333,12.58,613.4228719
4/1/1993,971.1634928,19.77,10.25,5405.809357,1870.281003,492.6800028,258.9389618,79.63484701,408.9441935,5769.869303,37.03915914,284.216095,398.7667569,59.90777461,31,12.58,741.8722127
7/1/1993,897.5429281,17.79333333,10.05,4769.409117,1912.220398,433.8299967,237.8458538,78.75685628,385.2860718,4722.567708,37.11452993,286.3276876,384.5025606,56.21750005,31,12.58,838.8152466
10/1/1993,941.1642456,16.45,9.975,4704.252128,1667.731036,338.7166646,217.0055989,80.80699921,416.0275981,4748.976563,36.62825012,291.9166768,384.5648169,56.18690364,31,12.58,838.8589884
1/1/1994,968.6513062,14.81,9.4,5266.228613,1861.773433,302.8999939,231.8255723,76.37015533,475.6472371,5668.194173,38.94059881,298.651123,395.8685425,76.56083171,30.5,11.45,767.8403727
4/1/1994,949.0187988,17.78333333,9.25,5458.055043,2129.653187,350.7666728,228.2714682,86.94444529,480.2518311,5923.388509,45.03174845,313.0099996,388.374855,85.16249847,31.5,11.45,850.5950521
